IRI_subject	IRI_subject.ttl	IRI_subject.nt
IRI_with_four_digit_numeric_escape	IRI_with_four_digit_numeric_escape.ttl	IRI_subject.nt
IRI_with_eight_digit_numeric_escape	IRI_with_eight_digit_numeric_escape.ttl	IRI_subject.nt
IRI_with_all_punctuation	IRI_with_all_punctuation.ttl	IRI_with_all_punctuation.nt
bareword_a_predicate	bareword_a_predicate.ttl	bareword_a_predicate.nt
old_style_prefix	old_style_prefix.ttl	IRI_subject.nt
SPARQL_style_prefix	SPARQL_style_prefix.ttl	IRI_subject.nt
prefixed_IRI_predicate	prefixed_IRI_predicate.ttl	IRI_subject.nt
prefixed_IRI_object	prefixed_IRI_object.ttl	IRI_subject.nt
prefix_only_IRI	prefix_only_IRI.ttl	IRI_subject.nt
default_namespace_IRI	default_namespace_IRI.ttl	IRI_subject.nt
prefix_reassigned_and_used	prefix_reassigned_and_used.ttl	prefix_reassigned_and_used.nt
reserved_escaped_local_name	reserved_escaped_local_name.ttl	reserved_escaped_local_name.nt
percent_escaped_local_name	percent_escaped_local_name.ttl	percent_escaped_local_name.nt
HYPHEN_MINUS_in_local_name	HYPHEN_MINUS_in_local_name.ttl	HYPHEN_MINUS_in_local_name.nt
underscore_in_local_name	underscore_in_local_name.ttl	underscore_in_local_name.nt
localname_with_COLON	localname_with_COLON.ttl	localname_with_COLON.nt
old_style_base	old_style_base.ttl	IRI_subject.nt
SPARQL_style_base	SPARQL_style_base.ttl	IRI_subject.nt
labeled_blank_node_subject	labeled_blank_node_subject.ttl	labeled_blank_node_subject.nt
labeled_blank_node_object	labeled_blank_node_object.ttl	labeled_blank_node_object.nt
anonymous_blank_node_subject	anonymous_blank_node_subject.ttl	labeled_blank_node_subject.nt
anonymous_blank_node_object	anonymous_blank_node_object.ttl	labeled_blank_node_object.nt
sole_blankNodePropertyList	sole_blankNodePropertyList.ttl	labeled_blank_node_subject.nt
blankNodePropertyList_as_subject	blankNodePropertyList_as_subject.ttl	blankNodePropertyList_as_subject.nt
blankNodePropertyList_as_object	blankNodePropertyList_as_object.ttl	blankNodePropertyList_as_object.nt
blankNodePropertyList_with_multiple_triples	blankNodePropertyList_with_multiple_triples.ttl	blankNodePropertyList_with_multiple_triples.nt
nested_blankNodePropertyLists	nested_blankNodePropertyLists.ttl	nested_blankNodePropertyLists.nt
blankNodePropertyList_containing_collection	blankNodePropertyList_containing_collection.ttl	blankNodePropertyList_containing_collection.nt
collection_subject	collection_subject.ttl	collection_subject.nt
collection_object	collection_object.ttl	collection_object.nt
empty_collection	empty_collection.ttl	empty_collection.nt
nested_collection	nested_collection.ttl	nested_collection.nt
first	first.ttl	first.nt
last	last.ttl	last.nt
LITERAL1	LITERAL1.ttl	LITERAL1.nt
LITERAL_LONG1	LITERAL_LONG1.ttl	LITERAL1.nt
LITERAL_LONG1_with_1_squote	LITERAL_LONG1_with_1_squote.ttl	LITERAL_LONG1_with_1_squote.nt
LITERAL_LONG1_with_2_squotes	LITERAL_LONG1_with_2_squotes.ttl	LITERAL_LONG1_with_2_squotes.nt
LITERAL2	LITERAL2.ttl	LITERAL1.nt
LITERAL_LONG2	LITERAL_LONG2.ttl	LITERAL1.nt
LITERAL_LONG2_with_1_squote	LITERAL_LONG2_with_1_squote.ttl	LITERAL_LONG2_with_1_squote.nt
LITERAL_LONG2_with_2_squotes	LITERAL_LONG2_with_2_squotes.ttl	LITERAL_LONG2_with_2_squotes.nt
literal_with_CHARACTER_TABULATION	literal_with_CHARACTER_TABULATION.ttl	literal_with_CHARACTER_TABULATION.nt
literal_with_BACKSPACE	literal_with_BACKSPACE.ttl	literal_with_BACKSPACE.nt
literal_with_LINE_FEED	literal_with_LINE_FEED.ttl	literal_with_LINE_FEED.nt
literal_with_CARRIAGE_RETURN	literal_with_CARRIAGE_RETURN.ttl	literal_with_CARRIAGE_RETURN.nt
literal_with_FORM_FEED	literal_with_FORM_FEED.ttl	literal_with_FORM_FEED.nt
literal_with_REVERSE_SOLIDUS	literal_with_REVERSE_SOLIDUS.ttl	literal_with_REVERSE_SOLIDUS.nt
literal_with_escaped_CHARACTER_TABULATION	literal_with_escaped_CHARACTER_TABULATION.ttl	literal_with_CHARACTER_TABULATION.nt
literal_with_escaped_BACKSPACE	literal_with_escaped_BACKSPACE.ttl	literal_with_BACKSPACE.nt
literal_with_escaped_LINE_FEED	literal_with_escaped_LINE_FEED.ttl	literal_with_LINE_FEED.nt
literal_with_escaped_CARRIAGE_RETURN	literal_with_escaped_CARRIAGE_RETURN.ttl	literal_with_CARRIAGE_RETURN.nt
literal_with_escaped_FORM_FEED	literal_with_escaped_FORM_FEED.ttl	literal_with_FORM_FEED.nt
literal_with_numeric_escape4	literal_with_numeric_escape4.ttl	literal_with_numeric_escape4.nt
literal_with_numeric_escape8	literal_with_numeric_escape8.ttl	literal_with_numeric_escape4.nt
IRIREF_datatype	IRIREF_datatype.ttl	IRIREF_datatype.nt
prefixed_name_datatype	prefixed_name_datatype.ttl	IRIREF_datatype.nt
bareword_integer	bareword_integer.ttl	IRIREF_datatype.nt
bareword_decimal	bareword_decimal.ttl	bareword_decimal.nt
bareword_double	bareword_double.ttl	bareword_double.nt
double_lower_case_e	double_lower_case_e.ttl	double_lower_case_e.nt
negative_numeric	negative_numeric.ttl	negative_numeric.nt
positive_numeric	positive_numeric.ttl	positive_numeric.nt
numeric_with_leading_0	numeric_with_leading_0.ttl	numeric_with_leading_0.nt
literal_true	literal_true.ttl	literal_true.nt
literal_false	literal_false.ttl	literal_false.nt
langtagged_non_LONG	langtagged_non_LONG.ttl	langtagged_non_LONG.nt
langtagged_LONG	langtagged_LONG.ttl	langtagged_non_LONG.nt
lantag_with_subtag	lantag_with_subtag.ttl	lantag_with_subtag.nt
